employee_id,age,monthly_income,years_at_company,job_satisfaction,distance_from_home_km,overtime,department,attrition
1,25,69277.0,10,4,4.2,No,Sales,0
2,46,53469.0,12,2,9.5,No,Sales,0
3,24,56296.0,12,4,2.3,Yes,R&D,0
4,40,44986.0,19,3,6.0,No,Sales,0
5,44,52345.0,3,2,0.9,No,Sales,0
6,49,53747.0,12,1,4.5,No,R&D,0
7,35,60725.0,6,4,4.5,No,Sales,0
8,44,78506.0,17,3,6.0,No,HR,0
9,29,58308.0,17,3,22.2,No,Sales,1
10,46,68267.0,12,2,6.3,No,R&D,0
11,47,43435.0,2,2,3.4,Yes,R&D,0
12,29,75834.0,16,4,11.1,No,R&D,0
13,59,68210.0,5,2,7.8,No,HR,0
14,25,50140.0,16,3,14.9,Yes,HR,1
15,28,66005.0,3,1,26.6,Yes,R&D,1
16,21,50114.0,4,3,0.2,Yes,R&D,1
17,32,34411.0,13,4,0.7,No,Sales,0
18,27,72342.0,17,3,10.4,Yes,R&D,0
19,40,53735.0,19,2,12.8,No,R&D,1
20,26,61252.0,8,2,28.6,No,HR,0
21,45,47578.0,4,4,2.5,No,R&D,0
22,21,42508.0,18,1,11.5,No,Sales,0
23,55,48002.0,1,4,3.9,No,HR,0
24,30,60325.0,3,2,1.0,No,R&D,0
25,35,55548.0,14,4,7.9,Yes,R&D,0
26,59,63372.0,3,1,2.5,No,HR,0
27,25,74996.0,17,3,19.2,Yes,Sales,1
28,30,42750.0,6,1,13.9,No,Sales,0
29,44,41504.0,7,3,1.1,No,Sales,0
30,56,55785.0,1,1,19.5,No,Sales,0
31,24,55275.0,13,3,4.4,No,R&D,0
32,29,41540.0,19,2,4.7,No,R&D,0
33,40,51034.0,6,4,22.0,No,Sales,0
34,22,49697.0,4,4,2.0,No,R&D,0
35,21,52085.0,16,3,4.6,Yes,R&D,0
36,37,54821.0,4,2,18.0,No,Sales,0
37,52,53747.0,11,4,1.1,No,R&D,1
38,50,20935.0,19,1,7.0,No,HR,1
