title,author,isbn
The Hobbit,J.R.R. Tolkien,101
1984,George Orwell,102
To Kill a Mockingbird,Harper Lee,103
The Great Gatsby,F. Scott Fitzgerald,104
Dune,Frank Herbert,105
Pride and Prejudice,Jane Austen,106
The Catcher in the Rye,J.D. Salinger,107
Brave New World,Aldous Huxley,108
The Lord of the Rings,J.R.R. Tolkien,109
Animal Farm,George Orwell,110
Harry Potter and the Sorcerer's Stone,J.K. Rowling,111
The Alchemist,Paulo Coelho,112
Sapiens,Yuval Noah Harari,113
Atomic Habits,James Clear,114
The Silent Patient,Alex Michaelides,115
